x1	x2	x3	x4	
4.556099884210e-004	7.586199790240e-003	3.041600110010e-003	4.173499997710e-003
8.123800216710e-005	1.540100056450e-004	-2.952899970110e-002	-1.554900035260e-002
-6.301200017330e-003	-2.365599945190e-002	-1.277699973430e-002	-1.786399981940e-003
-2.669400069860e-003	-2.029600000240e-004	-9.871699847280e-003	-2.106400020420e-002
3.352700173850e-002	7.217200007290e-003	4.337300080810e-003	-2.865300048140e-003
1.032999996100e-002	7.630500011150e-003	-3.858200041580e-003	-7.911199703810e-003
-8.511899970470e-003	-1.169500034300e-002	-4.627700150010e-002	-5.682900175450e-002
-3.800300136210e-002	-1.941299997270e-002	-1.746200025080e-002	-2.834399975840e-002
1.295399968510e-003	-8.651199750600e-003	9.813200449570e-004	7.348000071940e-003
-1.214700005950e-002	-2.611899981280e-003	-2.538100071250e-002	-9.797099977730e-003
6.137100048360e-003	1.141200028360e-002	3.412099927660e-002	2.278999984260e-002
1.645400002600e-002	2.049599960450e-002	2.655600011350e-002	2.476700022820e-002
-2.412899956110e-002	-1.300000026820e-002	-2.449500001970e-002	-2.401800081130e-002
7.485900074240e-003	4.403499886390e-003	1.700600050390e-002	1.959599927070e-002
2.681199926880e-003	-1.366499997680e-002	3.718799911440e-003	1.799100078640e-002
1.228800043460e-002	6.352299824360e-003	2.646999992430e-002	2.377000078560e-002
-3.493100032210e-002	-2.813399955630e-002	-2.452700026330e-002	-4.276299849150e-002
2.115200087430e-002	-1.257300004360e-002	6.535599939530e-003	8.380600251260e-003
-4.528100136670e-003	-2.164700068530e-002	-6.486500147730e-003	1.630399934950e-002
-2.002800069750e-002	-6.400899961590e-003	6.464099977170e-003	2.911600051450e-003
1.596600003540e-002	1.928500086070e-002	1.171899959440e-002	2.439899928870e-002
9.716399945320e-003	1.008199993520e-002	1.103200018410e-002	1.081500016150e-002
1.688599959020e-002	3.106199949980e-002	2.882399968800e-002	1.946800015870e-002
-1.960100047290e-002	2.769999904560e-003	3.184799849990e-002	2.517200075090e-002
2.811600081620e-002	2.228000015020e-002	2.577400021260e-002	2.036999911070e-002
-2.002800069750e-002	-3.490899875760e-002	-4.545700177550e-002	-2.105600014330e-002
-4.275700077410e-003	-2.182099968190e-002	-3.827900066970e-002	-1.861600019040e-002
-5.564900115130e-002	-5.842800065880e-002	-6.785900145770e-002	-4.509999975560e-002
5.746799986810e-003	-6.814499851320e-003	6.267600227150e-003	2.116600051520e-002
2.805699966850e-002	1.924699917440e-002	2.402300015090e-002	-4.930700175460e-003
2.113699913020e-002	5.714600160720e-002	-1.192600000650e-002	-3.073000116270e-003
5.511799827220e-002	8.973100222650e-003	6.299500167370e-002	3.985000029210e-002
6.768000125890e-002	-6.419800221920e-003	-5.213899910450e-002	7.190900295970e-002
-1.022399961950e-002	-2.010199939830e-003	-3.867499995980e-003	5.489700124600e-004
2.658700104800e-003	2.820400055500e-003	-9.100999683140e-003	-2.745700068770e-002
-4.755700007080e-002	-5.746600031850e-002	-5.876899883150e-002	-8.497799932960e-002
4.176399856810e-002	-1.328300032760e-002	1.138000003990e-002	4.478900134560e-002
2.054999955000e-002	-9.398600086570e-003	2.386000007390e-002	-1.097399974240e-003
1.224100030960e-002	2.071099914610e-002	3.801799938080e-002	3.461199998860e-002
1.498199999330e-002	1.758500002320e-002	2.982000075280e-002	2.425600029530e-002
8.389400318260e-003	7.699700072410e-003	-4.697899799790e-003	1.440299954270e-002
3.131499886510e-002	2.583800069990e-002	2.835699915890e-002	4.919499903920e-002
-9.139000438150e-003	-4.706200212240e-003	4.549600183960e-003	2.123299986120e-003
1.676299981770e-002	3.149100020530e-002	5.452299863100e-002	5.820399895310e-002
-1.148799993100e-002	-1.349299959840e-002	-2.050299942490e-002	-2.170200087130e-002
2.994400076570e-002	5.358600057660e-003	8.704500272870e-003	1.657100021840e-002
1.038399990650e-002	1.465599983930e-002	1.021499978380e-003	-1.283700019120e-002
-1.396000012760e-002	5.241800099610e-003	2.874300070110e-002	1.916100084780e-002
2.158699929710e-002	1.154599990700e-002	1.614999957380e-002	3.870199993250e-002
1.066400017590e-002	7.514799945060e-003	5.674400180580e-002	2.500900067390e-002
9.581000357870e-002	6.088300049300e-002	1.106799989940e-001	1.436299979690e-001
-1.056199986490e-002	-6.779300048950e-003	-7.391199935230e-003	-1.098699960860e-002
-9.514500387010e-003	-9.130699560050e-003	-2.092700079080e-002	-2.496199915190e-003
9.866800159220e-003	1.267000008370e-002	7.797500118610e-003	2.688900008800e-002
-9.789999574420e-003	-3.896099980920e-003	-1.050799991940e-002	-2.493100054560e-002
-5.861099809410e-003	-3.640000009910e-003	-4.308700095860e-003	4.368500085550e-004
-3.592400113120e-003	-2.169300103560e-003	-5.718600004910e-003	-6.863399758000e-004
-3.036600071940e-003	-2.223500050600e-002	-2.714399993420e-002	-2.583000063900e-002
1.390200015160e-002	2.278799936180e-002	2.903999947010e-002	4.799000173810e-002
1.107999961820e-002	2.730000019070e-002	9.652400389310e-003	4.216000065210e-002
-4.202999919650e-002	-1.613599993290e-002	-5.372200161220e-002	-6.195500120520e-002
1.939399912950e-002	-8.944000117480e-003	-1.906899921600e-002	-6.151500158010e-003
-9.671799838540e-003	-2.286599949000e-002	-3.766300156710e-002	-1.033699978140e-002
2.057200064880e-003	2.171199955050e-002	4.474499821660e-002	4.748899862170e-002
-2.943599969150e-002	-2.134699933230e-002	-2.747399918740e-002	-5.298700183630e-002
1.876099966470e-002	-1.389000006020e-002	-1.040000002830e-002	-2.439299970870e-002
-8.274600259030e-004	-9.872499853370e-003	-3.649899968880e-003	5.611700005830e-003
-3.779300022870e-003	-1.501800026740e-003	2.842099964620e-002	1.577799953520e-002
-2.215000055730e-002	-6.476299837230e-003	-1.400799956170e-002	-2.405600063500e-002
2.414100058380e-002	2.828400023280e-002	5.851799994710e-002	3.061800077560e-002
-1.637399941680e-002	-8.580300025640e-003	-4.564799834040e-003	-8.223599754270e-003
1.481399964540e-002	1.150400005280e-002	1.421099994330e-002	3.191899880770e-002
5.141899921000e-003	2.377299964430e-002	1.288300007580e-002	1.965799927710e-002
-1.164299994710e-002	1.055600005200e-003	2.249199897050e-003	4.136899951850e-003
-3.175399964680e-003	-1.250899955630e-002	-1.028299983590e-002	-2.775399945680e-002
4.524499922990e-002	-5.708599835630e-002	-1.141200028360e-002	3.285699989650e-003
8.179799653590e-003	1.100699976090e-002	-5.664699710910e-004	-4.624200053510e-003
7.087000180040e-003	1.580299995840e-002	-2.399899967710e-004	-1.024399977180e-002
-7.494899909940e-003	-5.000799894330e-003	1.554999966170e-002	1.451900042590e-002
2.906900085510e-002	2.978299930690e-002	-1.149099972100e-002	3.309400007130e-002
6.112200208010e-003	-1.179799996320e-002	8.258700370790e-003	2.923799911510e-003
1.429800037290e-002	-1.069299969820e-002	6.654799915850e-003	-1.327599957590e-002
1.979799941180e-002	3.640400012960e-003	8.156199939550e-003	7.373299915340e-003
-3.504199907180e-003	-1.816800050440e-002	8.075599558650e-003	3.401599824430e-002
3.763800114390e-002	3.584700077770e-002	3.345299884680e-002	7.261300086980e-002
-4.546700045470e-002	-4.385599866510e-002	-4.633999988440e-002	-2.110500074920e-002
2.228800021110e-002	-5.223599728200e-004	1.715099997820e-002	3.451900184150e-002
-6.305500282910e-004	7.552400231360e-003	7.040599826720e-003	1.544899959120e-002
-8.484099991620e-003	8.135699667040e-003	1.509299967440e-003	3.297700081020e-003
8.046999573710e-003	1.917000045070e-003	1.403299998490e-002	-1.972300000490e-002
-4.679299891000e-002	-1.828099973500e-002	-6.315600126980e-002	-9.688600152730e-002
6.884799897670e-002	7.133000344040e-002	1.278900057080e-001	1.538199931380e-001
-3.328200057150e-002	-2.030600048600e-002	1.370100025090e-002	1.715400069950e-002
-1.357300020750e-002	-2.029800042510e-002	-1.131699979310e-002	-7.445400115100e-003
-4.286699928340e-003	1.374000031500e-002	-4.232299979780e-004	1.837300020270e-003
4.605200141670e-003	-1.285899989310e-002	5.812600138600e-004	1.142800040540e-002
9.462400339540e-003	2.140700072050e-002	4.579499829560e-003	4.047499969600e-002
4.790500178930e-002	1.943399943410e-002	4.188299924140e-002	7.628700137140e-002
2.000899985430e-003	3.074900060890e-002	3.357100114230e-002	2.465399913490e-002
1.138400007040e-002	1.238000020380e-002	-4.567400173980e-005	-2.074799966070e-003
-2.799800038340e-002	-3.185399994250e-002	-2.835699915890e-002	-1.402099989350e-002
2.120899967850e-002	2.300599962470e-002	1.833299919960e-002	3.820699825880e-002
7.137900218370e-003	-1.350800041110e-002	-6.221999973060e-002	-4.598100110890e-002
-2.734700031580e-002	-2.420900017020e-002	-2.353500016030e-002	-3.505599871280e-002
-2.393200062220e-002	-5.939799826590e-003	-3.356100060050e-003	-3.269699960950e-002
1.678700000050e-002	1.897099986670e-002	1.474700029940e-002	8.536100387570e-003
5.954099819060e-003	-1.767199952160e-003	-1.856200024490e-002	-6.477599963550e-004
-2.107300050560e-002	-1.928599923850e-002	9.760599583390e-003	-1.266200002280e-002
-2.421800047160e-002	-6.020100042220e-002	-7.705900073050e-002	-6.793099641800e-002
-3.364900127050e-002	-2.246000058950e-002	-2.452399954200e-002	-5.305700004100e-002
-1.428600028160e-002	-9.789399802680e-003	-1.737700030210e-002	-2.058300003410e-002
-1.019599963910e-003	9.654600173230e-003	3.365000011400e-003	9.727899916470e-003
1.841799914840e-002	-1.252999994900e-002	-1.316700072490e-004	-1.206899993120e-002
-8.738099597390e-003	-1.830599969250e-003	5.182600114490e-003	2.022900059820e-002
3.456800058480e-002	1.558300014590e-002	4.663899913430e-002	6.845299899580e-002
5.745900049810e-002	3.687199950220e-002	4.248499870300e-002	5.880299955610e-002
5.263799801470e-003	-1.399699971080e-002	-1.589499972760e-002	-1.689199917020e-002
2.458599954840e-002	1.760900020600e-002	2.804099954660e-002	4.060899838810e-002
-7.576500065620e-003	-1.937000080940e-002	-1.348400022830e-002	-7.493500132110e-003
5.055199936030e-002	7.389900088310e-002	9.057500213380e-002	7.993900030850e-002
2.119299955670e-002	2.781300060450e-002	1.296800002460e-002	1.389299985020e-003
-2.826399914920e-002	-3.849000111220e-002	-4.077899828550e-002	-3.801300004120e-002
-2.043499983850e-002	4.840599838640e-003	-3.458099905400e-003	-1.356900017710e-002
-2.511800080540e-002	-1.318900007750e-002	-2.262300066650e-002	-2.559999935330e-002
1.085800025610e-002	-1.601499971000e-003	6.056900136170e-003	9.051599539820e-003
-2.990300022070e-002	-3.790000081060e-002	-7.027000188830e-003	-3.754299879070e-002
2.205399982630e-002	2.797199971970e-002	3.148699924350e-002	4.997000098230e-002
6.221400108190e-003	-7.062000222500e-003	8.957199752330e-004	2.163399942220e-002
-2.066900022330e-002	-2.386300079520e-002	-2.890600077810e-002	-4.582300037150e-002
1.092000026260e-002	1.205999962990e-002	1.597099937500e-002	2.774599939580e-002
-1.820700010280e-003	-2.394200069830e-003	1.506999973210e-002	1.913999952380e-002
-2.626500092450e-002	-1.412499975410e-002	-4.126300103960e-003	-1.077499985690e-002
1.358999963850e-002	7.896600291130e-003	5.973500199620e-003	1.963499933480e-003
7.536999881270e-003	-2.201900072400e-002	4.055500030520e-003	3.772899974140e-003
5.612799897790e-003	1.245300006120e-002	2.470199950040e-002	2.050399966540e-002
3.639499843120e-002	2.810099907220e-002	3.618400171400e-002	2.240500040350e-002
2.302799932660e-002	-1.270600035790e-002	-3.031200030820e-003	2.435100078580e-002
2.231499925260e-002	3.000099956990e-002	5.279000103470e-002	-1.089200004940e-002
-1.159700006250e-002	-3.019800037150e-002	-2.995299920440e-002	-2.873400039970e-002
-1.593400025740e-003	1.121700042860e-003	-1.426899991930e-002	-9.426699951290e-003
-1.735699921850e-002	-5.544700194150e-003	5.713399965320e-003	-1.266700029370e-002
3.016800060870e-002	6.959899794310e-003	-2.007799968120e-002	4.837299883370e-002
-2.614900004120e-004	-8.658999577160e-003	-7.948299869890e-003	-9.367099963130e-003
-2.464799955490e-002	-2.447099983690e-002	-3.883700072770e-002	-1.839599944650e-002
-1.898800022900e-002	-1.662399992350e-002	-4.045499861240e-002	-3.283999860290e-002
7.715099956840e-003	5.953699816020e-003	1.691400073470e-002	3.259199857710e-002
5.915800109510e-003	7.203400135040e-003	-1.012700027790e-003	9.957199916240e-003
1.985000073910e-002	5.798500031230e-003	-7.243500091140e-003	7.546599954370e-003
-1.090999972080e-002	1.318699959670e-002	9.632799774410e-003	-1.409900002180e-002
-3.964599967000e-002	-4.180200025440e-002	-6.951799988750e-002	-6.298000365500e-002
